iter	Passed	Remaining
0	134	134399
1	229	114532
2	319	106145
3	410	102236
4	497	99089
5	587	97250
6	670	95125
7	755	93741
8	844	92998
9	935	92572
10	1021	91860
11	1106	91075
12	1189	90273
13	1274	89790
14	1363	89556
15	1450	89230
16	1536	88833
17	1622	88535
18	1709	88275
19	1800	88210
20	1885	87895
21	1969	87553
22	2051	87159
23	2144	87225
24	2232	87076
25	2326	87142
26	2413	86990
27	2500	86817
28	2581	86441
29	2668	86280
30	2754	86098
31	2845	86076
32	2934	85983
33	3021	85841
34	3109	85742
35	3198	85636
36	3289	85625
37	3379	85543
38	3463	85334
39	3554	85303
40	3647	85322
41	3737	85239
42	3825	85137
43	3912	85013
44	3997	84845
45	4081	84656
46	4171	84583
47	4262	84535
48	4350	84432
49	4441	84384
50	4532	84333
51	4616	84166
52	4698	83957
53	4783	83803
54	4865	83596
55	4946	83380
56	5030	83230
57	5120	83169
58	5203	82987
59	5289	82865
60	5373	82719
61	5459	82594
62	5547	82508
63	5633	82392
64	5722	82313
65	5807	82190
66	5892	82054
67	5972	81854
68	6080	82042
69	6175	82045
70	6281	82184
71	6377	82202
72	6465	82105
73	6565	82157
74	6669	82259
75	6764	82245
76	6860	82231
77	6959	82261
78	7066	82388
79	7162	82363
80	7269	82475
81	7364	82447
82	7482	82668
83	7586	82725
84	7682	82702
85	7787	82761
86	7876	82658
87	7974	82641
88	8068	82587
89	8160	82514
90	8284	82749
91	8368	82596
92	8463	82541
93	8564	82551
94	8661	82515
95	8765	82541
96	8856	82445
97	8957	82446
98	9059	82449
99	9156	82409
100	9261	82439
101	9364	82441
102	9468	82460
103	9561	82380
104	9664	82374
105	9761	82332
106	9857	82269
107	9952	82204
108	10045	82117
109	10146	82096
110	10239	82009
111	10327	81884
112	10413	81737
113	10504	81642
114	10590	81498
115	10675	81351
116	10757	81189
117	10842	81044
118	10921	80857
119	11009	80733
120	11102	80652
121	11185	80497
122	11271	80366
123	11353	80207
124	11442	80097
125	11530	79984
126	11614	79837
127	11702	79722
128	11783	79563
129	11866	79415
130	11950	79276
131	12035	79144
132	12119	79006
133	12239	79099
134	12337	79049
135	12429	78965
136	12527	78915
137	12635	78926
138	12739	78911
139	12838	78864
140	12924	78739
141	13013	78629
142	13095	78481
143	13176	78327
144	13262	78205
145	13346	78069
146	13435	77959
147	13522	77843
148	13603	77695
149	13693	77597
150	13780	77481
151	13870	77380
152	13954	77253
153	14042	77141
154	14126	77012
155	14209	76876
156	14294	76752
157	14382	76647
158	14468	76526
159	14547	76375
160	14626	76223
161	14711	76098
162	14800	76000
163	14886	75885
164	14972	75771
165	15050	75617
166	15131	75477
167	15219	75374
168	15310	75283
169	15395	75163
170	15483	75065
171	15565	74932
172	15652	74823
173	15747	74756
174	15834	74649
175	15916	74520
176	15999	74392
177	16087	74292
178	16171	74170
179	16292	74220
180	16378	74109
181	16468	74016
182	16555	73910
183	16645	73819
184	16732	73712
185	16820	73611
186	16893	73444
187	16973	73313
188	17057	73194
189	17142	73083
190	17231	72983
191	17305	72825
192	17395	72735
193	17522	72801
194	17610	72701
195	17696	72593
196	17784	72490
197	17867	72373
198	17956	72275
199	18035	72141
200	18109	71986
201	18205	71920
202	18317	71914
203	18409	71831
204	18485	71686
205	18571	71581
206	18665	71504
207	18750	71394
208	18835	71288
209	18920	71176
210	18996	71035
211	19081	70925
212	19160	70795
213	19245	70686
214	19332	70585
215	19410	70451
216	19497	70353
217	19584	70251
218	19669	70147
219	19754	70037
220	19841	69938
221	19933	69855
222	20018	69750
223	20104	69648
224	20184	69525
225	20269	69418
226	20360	69332
227	20444	69224
228	20528	69116
229	20619	69031
230	20702	68919
231	20785	68806
232	20876	68722
233	20958	68606
234	21041	68495
235	21131	68410
236	21206	68273
237	21287	68155
238	21367	68036
239	21456	67944
240	21544	67852
241	21633	67760
242	21723	67675
243	21811	67579
244	21912	67526
245	22015	67477
246	22105	67391
247	22205	67331
248	22295	67244
249	22395	67185
250	22495	67128
251	22592	67058
252	22685	66979
253	22781	66908
254	22876	66835
255	22969	66755
256	23059	66666
257	23159	66606
258	23267	66569
259	23373	66525
260	23477	66474
261	23576	66411
262	23689	66386
263	23781	66300
264	23885	66248
265	23984	66182
266	24082	66115
267	24183	66053
268	24324	66102
269	24425	66038
270	24533	65996
271	24636	65940
272	24731	65861
273	24833	65800
274	24931	65727
275	25029	65657
276	25128	65587
277	25227	65517
278	25319	65431
279	25414	65351
280	25519	65298
281	25615	65218
282	25709	65137
283	25806	65062
284	25904	64988
285	26001	64913
286	26110	64866
287	26200	64773
288	26300	64704
289	26390	64612
290	26465	64482
291	26556	64389
292	26698	64422
293	26783	64317
294	26869	64213
295	26949	64095
296	27039	64002
297	27122	63892
298	27209	63792
299	27297	63694
300	27389	63605
301	27494	63548
302	27592	63472
303	27707	63435
304	27812	63376
